index,autonomous,lidar_filename,steering_angle,vehicle_speed,turn_signal,position_x,position_y,position_z,roll,pitch,yaw
2021-11-25 12:01:47.414406656,True,lidar/1637841707414406656.jpg,-0.094,3.499285384331116,1.0,-9682.963515512598,-1539.0238223644665,68.9122477655794,-0.036995053351965575,-0.028482955567459285,0.888654480156503
2021-11-25 12:01:47.513668352,True,lidar/1637841707513668352.jpg,-0.094,3.6698108358912127,1.0,-9682.740572431418,-1538.7483386981594,68.91899372894612,-0.03532819350143712,-0.029147734261780436,0.888335223479011
2021-11-25 12:01:47.613515520,True,lidar/1637841707613515520.jpg,-0.094,3.825773094596736,1.0,-9682.507348060888,-1538.4595421495212,68.92883976551275,-0.03474959187113308,-0.028641996300350546,0.8879192881329118
2021-11-25 12:01:47.713650688,True,lidar/1637841707713650688.jpg,-0.094,4.009282176126807,1.0,-9682.261885300684,-1538.1536010066434,68.94014739214742,-0.034021528375623694,-0.028318575814137537,0.886966578503342
2021-11-25 12:01:47.815224320,True,lidar/1637841707815224320.jpg,-0.094,4.168859866379244,1.0,-9682.003034506806,-1537.8311443204964,68.95183345217274,-0.03562926942648396,-0.027986786592243285,0.8860544350385896
2021-11-25 12:01:47.913899264,True,lidar/1637841707913899264.jpg,-0.094,4.35,1.0,-9681.739472995092,-1537.5034472733075,68.96446566601387,-0.03545075484551012,-0.026481364972597114,0.885122769449739
2021-11-25 12:01:48.013696256,True,lidar/1637841708013696256.jpg,-0.094,4.574991287276379,1.0,-9681.463812895272,-1537.162801694022,68.97776362711889,-0.0363174081936507,-0.02517670355016606,0.8844808414943774
2021-11-25 12:01:48.113937664,True,lidar/1637841708113937664.jpg,-0.094,4.796986057398738,1.0,-9681.17206112666,-1536.8011306783712,68.98949262475472,-0.03513719025704099,-0.024482327480305155,0.8837995346715661
2021-11-25 12:01:48.213537792,True,lidar/1637841708213537792.jpg,-0.094,4.964698642698537,1.0,-9680.872289810055,-1536.4300488924446,69.00033885906899,-0.03472537994085306,-0.024011169632665388,0.8828964656783493
2021-11-25 12:01:48.314154240,True,lidar/1637841708314154240.jpg,-0.094,5.197000589831308,1.0,-9680.557670577195,-1536.0394544070853,69.01147446293064,-0.03455516296103581,-0.023070206972512313,0.8815224860241421
2021-11-25 12:01:48.414181632,True,lidar/1637841708414181632.jpg,-0.094,5.401118763264117,1.0,-9680.231820468267,-1535.637467932178,69.02371758479761,-0.03653116166976109,-0.022290564695275537,0.8804610798815196
2021-11-25 12:01:48.515632640,True,lidar/1637841708515632640.jpg,-0.094,5.6177664306842985,1.0,-9679.88732669101,-1535.2130924221033,69.03399500626986,-0.034909633513930095,-0.022004743591680122,0.879385778944609
2021-11-25 12:01:48.614220800,True,lidar/1637841708614220800.jpg,-0.094,5.794985295047751,1.0,-9679.540451518398,-1534.7880411342965,69.04439818214067,-0.0346537557512053,-0.021453580844407856,0.878558611626653
2021-11-25 12:01:48.713567232,True,lidar/1637841708713567232.jpg,-0.094,5.96767734353909,1.0,-9679.176548499101,-1534.3415226369505,69.05524173651169,-0.03447179281654898,-0.020403348189994536,0.87726872930972
2021-11-25 12:01:48.813502208,True,lidar/1637841708813502208.jpg,-0.094,6.195426652419478,1.0,-9678.797037195829,-1533.8765688242456,69.06565408833943,-0.036418838408283215,-0.019710354763909897,0.8758466310967932
2021-11-25 12:01:48.914247424,True,lidar/1637841708914247424.jpg,-0.094,6.415504340383911,1.0,-9678.40015513521,-1533.391468291684,69.07723327882748,-0.03708320474328795,-0.018553180762085692,0.8745719878135688
2021-11-25 12:01:49.013685248,True,lidar/1637841709013685248.jpg,-0.094,6.646261779944906,1.0,-9677.996600639415,-1532.900773382752,69.08814695912433,-0.034714539807133765,-0.01677613140263809,0.8730780031022329
2021-11-25 12:01:49.113507840,True,lidar/1637841709113507840.jpg,-0.094,6.831872231110017,1.0,-9677.571617363583,-1532.3826165180933,69.10025254045404,-0.0348361924568108,-0.01582273207642109,0.8715112744768665
2021-11-25 12:01:49.213497088,True,lidar/1637841709213497088.jpg,-0.094,7.024866445100936,1.0,-9677.136115398222,-1531.8522336664212,69.11224660712018,-0.035492657072251556,-0.015169655045556297,0.8697722908713701
2021-11-25 12:01:49.313995008,True,lidar/1637841709313995008.jpg,-0.094,7.146417818594963,1.0,-9676.685673902028,-1531.3048233382322,69.12621850407223,-0.03545587308778934,-0.013384204138500408,0.8678856163010498
2021-11-25 12:01:49.413247488,True,lidar/1637841709413247488.jpg,-0.094,7.2140972047343235,1.0,-9676.23161678383,-1530.756649150634,69.14006302013944,-0.03503192777419941,-0.010716301178281934,0.8665171399133229
2021-11-25 12:01:49.514217728,True,lidar/1637841709514217728.jpg,-0.094,7.296249691052892,1.0,-9675.760924520202,-1530.1902195398636,69.1557221105737,-0.03372435693609808,-0.006312168915994164,0.864818438557254
2021-11-25 12:01:49.615896576,True,lidar/1637841709615896576.jpg,-0.1,7.336160167567443,1.0,-9675.282631349663,-1529.616227200604,69.17068016375163,-0.03456916561033615,-0.0016434474398336204,0.862686072929241
2021-11-25 12:01:49.716804608,True,lidar/1637841709716804608.jpg,-0.1,7.385891887487129,1.0,-9674.813810568015,-1529.0555630937245,69.18205178726133,-0.034558308662897975,0.0010140983157777596,0.8608929369270826
2021-11-25 12:01:49.813345280,True,lidar/1637841709813345280.jpg,-0.11831693046745088,7.401223098083635,1.0,-9674.342590143457,-1528.494002662956,69.1909637184054,-0.03483492007706396,0.0015958539330872359,0.8595051966395169
2021-11-25 12:01:49.915263232,True,lidar/1637841709915263232.jpg,-0.119,7.48,1.0,-9673.862405215059,-1527.925179439014,69.19747670298118,-0.03305379331421475,0.001272013246756707,0.8578160049402999
2021-11-25 12:01:50.013127424,True,lidar/1637841710013127424.jpg,-0.12499489352858659,7.480429426885986,1.0,-9673.382384020433,-1527.3607287396783,69.20314747692619,-0.03100828781929895,0.0004126459369635533,0.8565261857954801
2021-11-25 12:01:50.113096960,True,lidar/1637841710113096960.jpg,-0.1697199695016289,7.464386881694181,1.0,-9672.901554611139,-1526.7936765239124,69.20952278153361,-0.030330441798617526,0.0005122607161595949,0.8548664158771364
2021-11-25 12:01:50.213206528,True,lidar/1637841710213206528.jpg,-0.22404464806206187,7.444491265291383,1.0,-9672.41355881609,-1526.2183104211026,69.2186314985194,-0.031766160701051524,0.0024486809407017873,0.852133460888784
2021-11-25 12:01:50.316868608,True,lidar/1637841710316868608.jpg,-0.25506959640691246,7.3830457056834575,1.0,-9671.910560095015,-1525.6292458936155,69.2252326266607,-0.03108719139576146,0.004288692221764703,0.8493730545090921
2021-11-25 12:01:50.414085376,True,lidar/1637841710414085376.jpg,-0.2776643198199568,7.39,1.0,-9671.441645124005,-1525.0831503968157,69.23002720692202,-0.028791888789655162,0.006168232869947143,0.8459711468236171
2021-11-25 12:01:50.513218304,True,lidar/1637841710513218304.jpg,-0.3169351927444374,7.338872754344671,1.0,-9670.960571678372,-1524.527010501793,69.23426200911891,-0.027510545469564843,0.007142271432708738,0.8418519741278448
2021-11-25 12:01:50.613406976,True,lidar/1637841710613406976.jpg,-0.339,7.397569320577266,1.0,-9670.47319056713,-1523.9679357708956,69.23685056100945,-0.026647495881181017,0.006789054025205193,0.8374033583630626
2021-11-25 12:01:50.717312512,True,lidar/1637841710717312512.jpg,-0.3539088485351186,7.403833145434048,1.0,-9669.96316562216,-1523.3872344039512,69.23670873441165,-0.024470387126766985,0.004976875838336549,0.8320909513415146
2021-11-25 12:01:50.813491712,True,lidar/1637841710813491712.jpg,-0.398,7.383892572944297,1.0,-9669.49367153223,-1522.8600490139668,69.2389425280086,-0.026190301729113307,0.0030936047496163124,0.8272187765383384
2021-11-25 12:01:50.913785856,True,lidar/1637841710913785856.jpg,-0.4109966476099255,7.34192773603788,1.0,-9669.000261729167,-1522.308959190544,69.24465399539942,-0.0209051482591353,0.003962475403065345,0.8210333270982357
2021-11-25 12:01:51.013953024,True,lidar/1637841711013953024.jpg,-0.43790152044184866,7.3839271860320554,1.0,-9668.506868941564,-1521.7677876806804,69.24924594091101,-0.022022787996669575,0.004476861489457323,0.8149872181709145
